id,biz_name,e_address,e_city,e_state,e_postal,e_zip_full,e_country,loc_county,loc_area_code,loc_FIPS,loc_MSA,loc_PMSA,loc_TZ,loc_DST,loc_LAT_centroid,loc_LAT_poly,loc_LONG_centroid,loc_LONG_poly,biz_phone,metal_spikes,play_five,c_holes,c_type,year_built,c_designer,c_season,guest_policy,dress_code,green_fees,weekend_rates,adv_tee,Description,website,Tier,Cash,Card,Member Charge,Member Charge Only,description
4,Boulder Creek Golf & Country Club,16901 Big Basin Hwy,Boulder Creek,CA,95006,,USA,Santa Cruz,831,6087,,7485.0,PST,Y,37.1694,37.1538084,-122.1537,-122.1614662,(831) 338-2121,N,Y,18,Resort,1961,Jack Fleming,Open all year,Open,No tank tops or cutoffs,$22 - $40,$40 wknd,7 days,,https://www.golfpass.com/travel-advisor/xgo/15522,,,,,,
5,Road Runner Club,1010 Palm Canyon Dr,Borrego Springs,CA,92004,,USA,San Diego,760,6073,7320.0,,PST,Y,33.2758,33.260928,-116.2884,-116.361555,(760) 767-5374,N,N,18,Semi-private,1970,,Open all year,Open,No tank tops or cutoffs,$20 ,$20 wknd,Yes,,https://www.golfpass.com/travel-advisor/xgo/3619,,,,,,
6,Rams Hill Country Club,1881 Rams Hill Rd,Borrego Springs,CA,92004,,USA,San Diego,760,6073,7320.0,,PST,Y,33.2758,33.193944,-116.2884,-116.323749,(760) 767-5125,N,Y,18,Private,1982,Ted Robinson,Open all year,Open,"No denim, collared shirt and bermuda shor required",,$105 wknd,7 days,,,,,,,,
7,De Anza Desert Country Club,509 Catarina Dr,Borrego Springs,CA,92004,,USA,San Diego,760,6073,7320.0,,PST,Y,33.2758,33.2906213,-116.2884,-116.3845555,(760) 767-5577,Y,Y,18,Private,1959,Lawrence Hughes,Open all year,Closed,"No denim, collared shirt and bermuda shor required",$60 ,$60 wknd,7 days,Also known as De Anza Desert Country Club.,https://www.golfpass.com/travel-advisor/xgo/3620,,,,,,
9,Palms Course at Borrego Springs Resort & Country Club,1112 Titling T Dr,Borrego Springs,CA,92004,,USA,San Diego,760,6073,7320.0,,PST,Y,33.2758,33.2558717,-116.2884,-116.375012,(760) 767-3330,Y,Y,27,Resort,1998,Cary Bickler,Open all year,Open,"No denim, collared shirt and bermuda shor required",$35 - $64,,,,,,,,,,
12,Feather River Park Resort,8339 California 89,Blairsden,CA,96103,,USA,Plumas,530,6063,,,PST,Y,39.7722,39.7781247,-120.711,-120.62121,(530) 836-2328,N,Y,9,Resort,1923,Bert Stamps,May 1 to Oct 10,Open,Shirt and shoes required,$16 -$18,$18 wknd,Yes,"Nestled in the heart of the High Sierras at an elevation of 4,300 feet, Feather River Park Resort's nine-hole golf course offers stunning views of meadows, canyons, and dozens of lakes that are scattered throughout the rustic countryside of the Mohawk Valley. Sand and grass bunkers complement the strategic mounding across the gently rolling landscape of the course, making ball placement a top priority in scoring well. This wooded golf course has pine trees lining its fairways and a water hazard coming into play. For avid golfers, Feather River Park Resort provides a challenging practice round for the two championship 18-hole courses that are nearby.",https://www.golfpass.com/travel-advisor/xgo/3616,,,,,,
13,Feather River Inn Golf Club & Resort,Hwy 70 at Feather River Inn Rd,Blairsden,CA,96103,,USA,Plumas,530,6063,,,PST,Y,39.7722,39.7810095,-120.711,-120.6166077,(530) 836-2722,N,Y,9,Resort,1919,Harold Sampson,Apr 1 to Nov 1,Open,Shirt and shoes required,$12 - $18,$18 wknd,7 days,,,,,,,,
14,Bodega Harbour Golf Links,21301 Heron Dr,Bodega Bay,CA,94923,,USA,Sonoma,707,6097,,7500.0,PST,Y,38.3575,38.3137945,-123.0437,-123.0275894,(707) 875-3538,N,Y,18,Semi-private,1977,"Robert Trent Jones, Jr.",Open all year,Open,"Collared shirt, no cutoffs, denim ok",$60 - $90,$90 wknd,90 days,,,,,,,,
16,Bishop Country Club,200 U.S. 395,Bishop,CA,93514,,USA,Inyo,760,6027,,,PST,Y,37.4772,37.3621701,-118.401,-118.3952127,(760) 873-5828,Y,Y,18,Semi-private,1963,Joe Williams,Open all year,Open,No tank tops or cutoffs,$20 - $32,$32 wknd,7 days,,https://www.golfpass.com/travel-advisor/xgo/3614,,,,,,
17,Big Bear Mountain Golf Course,43100 Goldmine Dr,Big Bear Lake,CA,92305,,USA,San Bernardino,909,6071,,6780.0,PST,Y,34.1811,34.228427,-116.9286,-116.8614161,(909) 585-8002,N,Y,9,Resort,1921,,Apr 15 to Nov 15,Open,"Collared shirt, no other requirements",$20 - $32,$32 wknd,1 days,,https://www.golfpass.com/travel-advisor/xgo/124,,,,,,
